drink name,category,quantiry one (oz),ingredient one,quantity two (oz),ingredient two,quantity three (oz),ingredient three,quantity four (oz),ingredient four,quantity five (oz),ingredient five,quantity six (oz),ingredient six,quantity seven (oz),ingredient seven,quantity eight (oz),ingredient eight,quantity nine (oz),ingredient nine
Key_Lime_Pie_Martini,,1.50,Vanila_Vodka,0.50,Triple_Sec_Orange_Liqueur,1,Pineapple_Juice,0.50,Lime_Cordial,,,,,,,,,,
KnickerBocker,,2.50,Rum,0.50,Raspberry-Syrup,1,Orange_Curacao,0.50,Lime_Juice,,,,,,,,,,
Lavender_Martini,,2,gin,0.50,Dry_Vermouth,0.50, Lavender_Simple _Syrup,,,,,,,,,,,,
Long_Beached_Iced_Tea,,0.50,Vodka,0.50,Light_Rum,0.50,Tequila,0.50,Gin,0.50,Triple_Sec,1,Sour_Mix,2,Cranberrry_Juice,,,,
Lady_Liberty,,2,Rum,1,Orgeat_syrup,0.25,Maraschino_Liqueur,0.25,Green_Chartreuse,1,Lime_Juice,,,,,,,,
Madras,,1.50,Vodka,3,Cranberry_Juice,1,Orange_Juice,,,,,,,,,,,,
Mai_Tai,,1,Rhum_Agricole,1,Dark_Rum,1,Lime_Juice,0.50,Orange_Curacao,0.50,Orgeat_syrup,0.25,Simple_Syrup,,,,,,
Metropolitan,,2,Brandy,1,Sweet_Vermouth,0.10,Simple_Syrup,,,,,,,,,,,,
Napoleon,,2,Gin,0.50,Orange_Liqueur,0.50,Debonnet_Rouge,,,,,,,,,,,,
Nevada_Cocktail,,1.50,Light_Rum,1.50,Grapefruit_Juice,1,Lime_Juice,0.33,Superfine_Sugar,,,,,,,,,,
Nightcap,,1,Brandy,1,Anisettem1,1.00,Curacao_Liqueur,1.00,Egg_Yolk,,,,,,,,,,
Orange_Blossom_Cocktail,,0.75,Gin,0.75,Sweet_Vermouth,0.75,Orange_Juice,,,,,,,,,,,,
Orange_Martini,,2,Gin,0.50,Triple_sec,0.50,Dry_Vermouth,,,,,,,,,,,,
O_Sole_Mio,,1.50,Antica-Orange_and_Mango,0.50,Lemon_Juice,2,Orange_Juice,,,,,,,,,,,,
Painkiller,,2,Rum,4,Pineapple_Juice,1,Orange_Juice,1,Cream_of_Coconut,,,,,,,,,,
Paloma,,2,tequila,0.33,Lime_juice,4,Grapefruit_Soda,,,,,,,,,,,,
Peppermint_Patty,,2,Chocolate_Vodka,0.50,Peppermint_Schnapps,0.75,Cream_Liqueur,,,,,,,,,,,,
Raspberry_Gimlet_Shooter,,1.50,Vodka,0.50,Lime_Juice,0.03,Black_Raspberry_Liqueur,,,,,,,,,,,,
Red_Beer,,2,Tomato_Juice,12,Beer,,,,,,,,,,,,,,
Robert_Burns,,2,Scotch_Whisky,0.75,Sweet_Vermouth,0.03,Orange_bitters,0.03,Absinthe,,,,,,,,,,
Sake_Martini,,2.50,Gin,0.50,Sake,,,,,,,,,,,,,,
Shirley_Temple,,0.25,Grenadine,3,Lemon-Lime_Soda,3.00,Ginger_Ale,,,,,,,,,,,,
Scoth_Sour,,1.50,Scotch_Whiskey,0.75,Lemon_Juice,,,,,,,,,,,,,,
Tequini,,2.50,Tequila,0.50,Dry_Vermouth,0.03,Angousta_Bitters,,,,,,,,,,,,
Talking_Monkey,,1,Chocolate_Vodka,0.03,Espresso_Vodka,1,Banana_Liqueur,0.03,Coffee_Liqueur,1,Cream,,,,,,,,
Tornado,,1,Whiskey,1,Vodka,1,Rum,1,Tequila,2,Cola,0.06,Sugar,,,,,,
Vermouth_Cassis,,2.50,Dry_Vermouth,0.75,Creme_De_Cassis,3,Club_Soda,,,,,,,,,,,,
Vieux_Carre,,0.75,Rye_Whiskey,0.75,Cognac,0.75,Sweet_Vermouth,0.50,Benedictine_Liqueur,.06,Peychaud’s_bitters,.06,Aromatic_Bitters,,,,,,
Vampires_Kiss,,1.50,Melon_Liqueur,1,Orange_Vodk,2,Pineapple_Juice,0.50,Cream,0.03,Grenadine,,,,,,,,
Waldorf,,2,Rye_Whiskey,0.75,Sweet_Vermouth,0.25,Absinthe,0.06,Bitters,,,,,,,,,,
Ward_Eight,,2,Whiskey,0.75,Lemon_Juice,0.75,Orange_Juice,0.02,Grenadine,,,,,,,,,,
Washington_Apple_Martini,,1,Whiskey,1,Sour_Apple_Schnapps,1,Cranberry_Juice,,,,,,,,,,,,
Yellow_Submarine,,1.50,Vodka,0.50,White_Rum,0.50,Banana_Liqueur,,,,,,,,,,,,
Zombie,,1,Light_Rum,1,Dark_Rum,1,Orange_Curacao_Liqueur,1.50,Orange_Juice,1.50,Passion_Fruit_Puree,0.50,Lemon_Juice,0.50,Lime_Juice,0.25,Grenadine,0.06,Angostura_Bitters
